Place,Address,Tags,url
[CLOSED] TONO Cevicheria,7 Fraser Street #01-49/50 DUO Galleria Singapore 189356,"['Seafood', 'Dinner With Drinks', 'Good For Groups']",https://www.burpple.com/tonocevicheria
Chir Chir Fusion Chicken Factory (Bugis Junction),200 Victoria Street #02-50 Bugis Junction Singapore 188021,"['Good For Groups', 'Korean', 'Korean Fried Chicken']",https://www.burpple.com/chir-chir-2
Cicheti,52 Kandahar Street Singapore 198901,"['Pasta', 'Burpple Guides', 'Italian', 'Pizza', 'Date Night']",https://www.burpple.com/cicheti
Maison Ikkoku,Kandahar Street 20 Singapore 198885,"['Bars', 'Burpple Guides', 'Sandwiches', 'Cafes & Coffee', 'Late Night', 'Cocktails', 'Breakfast & Brunch']",https://www.burpple.com/maison-ikkoku
Monster Curry (Bugis Junction),200 Victoria Street #B1-04/K24 Bugis Junction Singapore 188021,['Japanese'],https://www.burpple.com/monster-curry-bugis-junction
Istanblue Mezze & Grill House,17 Baghdad Street Singapore 199656,"['Turkish', 'Good For Groups', '1-For-1 Deals']",https://www.burpple.com/istanblue-mezze-grill-house
Thyme (Aliwal),28 Aliwal Street #01-07 Aliwal Arts Center Singapore 199918,"['Pasta', 'Pizza', 'Western', '1-For-1 Deals', 'Breakfast & Brunch']",https://www.burpple.com/thyme-aliwal
The Masses,85 Beach Road #01-02 Singapore 189694,"['Dinner With Drinks', 'Date Night', 'European', 'Takeaway Available']",https://www.burpple.com/the-masses
Xing Hua Vegetarian Restaurant,190 Middle Road #01-11 Fortune Centre Singapore 188979,"['Vegetarian', 'Chinese']",https://www.burpple.com/xing-hua-vegetarian-restaurant
Seoul Yummy (Bugis+),201 Victoria Street #04-11 Bugis+ Singapore 188067,"['Good For Groups', 'Korean', 'Korean Desserts']",https://www.burpple.com/seoul-yummy-3
Jin Jin Eating House,496 North Bridge Road Singapore 188739,['Hawker Food'],https://www.burpple.com/jin-jin-eating-house
Flaming Don (Bugis+),201 Victoria Street #05-02 Bugis+ Singapore 188067,['Japanese'],https://www.burpple.com/flaming-don
Tash Tish Tosh,50 Kandahar Street Singapore 198900,"['Pizza', 'Cafes & Coffee', 'Good For Groups', 'Western', 'Halal']",https://www.burpple.com/tash-tish-tosh-cafe
Double Up Coffee,7 Jalan Klapa Singapore 199319,"['Cafes & Coffee', 'Desserts']",https://www.burpple.com/double-up-coffee
The Ramen Stall,787 North Bridge Road Singapore 198755,"['Ramen', 'Japanese', 'Supper', 'Late Night', 'Halal']",https://www.burpple.com/the-ramen-stall-1
aRoma (Arab Street),29 Arab Street Singapore 199728,"['Ice Cream & Yoghurt', 'Desserts']",https://www.burpple.com/aroma-1
The Soup Spoon (Bugis Junction),200 Victoria Street #B1-04/26 Bugis Junction Singapore 188021,"['Soup', 'Healthy', 'Sandwiches', 'Salads']",https://www.burpple.com/soup-spoon-3
Moosh Softserve (Haji Lane),44 Haji Lane Singapore 189237,"['Ice Cream & Yoghurt', 'Desserts', 'Halal']",https://www.burpple.com/moosh-softserve
Mrs Pho (Beach Road),349 Beach Road Singapore 199570,"['Vietnamese', 'Cheap & Good']",https://www.burpple.com/mrs-pho
Ah Chew Desserts (Liang Seah Street),1 Liang Seah Street #01-11 Liang Seah Place Singapore 189022,"['Local Delights', 'Desserts', 'Supper']",https://www.burpple.com/ah-chew-desserts
Sawadee Thai Cuisine,9 Tan Quee Lan Street #01-01 TQL Suites Singapore 188098,"['Thai', '1-For-1 Deals']",https://www.burpple.com/sawadee-thai-cuisine
Supreme Pork Chop Rice,67 Beach Road #B1-01 Bulkhaul House Singapore 189688,"['Hidden Gem', 'Cheap & Good', 'Hawker Food']",https://www.burpple.com/supreme-pork-chop-rice
Kogane Yama (Bugis Junction),200 Victoria Street #02-50 Bugis Junction Singapore 188021,['Japanese'],https://www.burpple.com/koganeyamasingapore
PastaWa,77 Aliwal Street Singapore 199948,"['Pasta', 'Western']",https://www.burpple.com/pastawa
Wakey Wakey,302 Beach Road #01-04/05 Singapore 199600,"['Cafes & Coffee', 'Desserts', 'Waffles', 'Cakes']",https://www.burpple.com/wakey-wakey
Fish & Co. (Bugis+),201 Victoria Street #04-07 Bugis+ Singapore 188067,"['Seafood', 'Western', 'Halal']",https://www.burpple.com/fish-co-28
Julie Bakes,14 Baghdad Street Singapore 199653,"['Desserts', 'Cakes', 'Halal']",https://www.burpple.com/julie-bakes-halal-100
Jing Hua Xiao Chi (Bugis Village),159 Rochor Road Bugis Village Singapore 188434,"['Dim Sum', 'Chinese']",https://www.burpple.com/jing-hua-restaurant
Ratu Lemper,31 Arab Street Singapore 199730,"['Local Delights', 'Malay', 'Desserts', 'Halal']",https://www.burpple.com/ratu-lemper-heritage-delicacy
Groundstory,756/758 North Bridge Road Singapore 198726,"['Cafes & Coffee', 'Cakes']",https://www.burpple.com/groundstory
Nunsongyee (Bugis),534 North Bridge Road Singapore 188749,"['Ice Cream & Yoghurt', 'Desserts', 'Supper', 'Good For Groups', 'Korean Desserts']",https://www.burpple.com/nunsongyee-bugis
Daessiksin (Bugis+),201 Victoria Street #04-05 Bugis+ Singapore 188087,"['Korean BBQ', 'Buffets', 'Good For Groups', 'BBQ', 'Korean']",https://www.burpple.com/daessiksin-bugis
Blackball (Bugis+),201 Victoria Street #01-14 Bugis+ Singapore 188067,"['Taiwanese', 'Desserts']",https://www.burpple.com/black-ball-at-bugis
LiHO (Bugis+),201 Victoria Street #03-29/30 Bugis+ Singapore 188067,"['Fruit Tea', 'Bubble Tea']",https://www.burpple.com/liho
CoCoICHIBANYA (Bugis+),201 Victoria Street #01-10 Bugis+ Singapore 188067,['Japanese'],https://www.burpple.com/coco-ichibanya-curry-house
Yolé (Bugis+),201 Victoria Street #03-27 Bugis+ Singapore 188067,"['Ice Cream & Yoghurt', 'Desserts', 'Healthier Choice']",https://www.burpple.com/yole-bugis
YAYOI (Bugis+),201 Victoria Street #01-08 Bugis+ Singapore 188067,['Japanese'],https://www.burpple.com/yayoiken-japanese-restaurant-4
Bonchon (Bugis+),201 Victoria Street #01-11 Bugis+ Singapore 188067,"['Korean', 'Korean Fried Chicken']",https://www.burpple.com/bonchon-chicken-21
Geláre (Bugis+),201 Victoria Street #05-10 Bugis+ Singapore 188067,"['Ice Cream & Yoghurt', 'Desserts', 'Waffles', 'Halal']",https://www.burpple.com/gelare-10
AmaSoy (Bugis+),201 Victoria Street #04-05 Bugis+ Singapore 188067,"['Ice Cream & Yoghurt', 'Desserts']",https://www.burpple.com/amasoy-bugis
COyOrO (Bugis),4 New Bugis Street Stall EFL-4I Singapore 188868,"['Ice Cream & Yoghurt', 'Desserts']",https://www.burpple.com/coyoro-bugis
Poulet (Bugis+),201 Victoria Street #04-12 Bugis+ Singapore 188067,"['French', 'Good For Groups']",https://www.burpple.com/poulet
Bugis Street Chuen Chuen Chicken Rice (Bugis),21 Tan Quee Lan Street #01-01 Heritage Place Singapore 188108,"['Chicken Rice', 'Zi Char', 'Good For Groups', 'Hawker Food']",https://www.burpple.com/bugis-street-chuen-chuen
Twelve Cupcakes (Bugis Junction),200 Victoria Street #B1-03B Bugis Junction Singapore 188021,"['Desserts', 'Cakes', 'Halal']",https://www.burpple.com/twelve-cupcakes-10
Derwish Turkish Restaurant,60 Bussorah Street Singapore 199476,"['Turkish', '1-For-1 Deals', 'Mediterranean', 'Halal']",https://www.burpple.com/derwish-turkish-restaurant
Peony Sense (Bugis),191 Rochor Road #B2-09A Bugis MRT Singapore 486038,"['Healthy', 'Desserts']",https://www.burpple.com/peony-sense
Chicken Up Little (Bugis),60 Queen Street Stall 5 Tastebud Foodcourt Singapore 188540,"['Korean', 'Korean Fried Chicken']",https://www.burpple.com/chickenup-little
Eighteen Chefs (Bugis Junction),200 Victoria Street #04-06 Bugis Junction Singapore 188021,"['Western', 'Halal']",https://www.burpple.com/eighteen-chefs-6
Boss Bake (Bugis),191 Rochor Road #B2-11 Bugis MRT Singapore 188476,['Desserts'],https://www.burpple.com/bossbakebakery
BBQ Box (Bugis),21 Tan Quee Lan Street #01-03 Singapore 188108,"['Rainy Day Comforts', 'Good For Groups', 'BBQ', 'Chinese']",https://www.burpple.com/bbq-box-1
Kin Moo (Bugis),2 Tan Quee Lan Street #01-02 Singapore 188091,"['Thai', 'Cheap & Good']",https://www.burpple.com/kinmoo
Chocolate Origin (Bugis Junction),200 Victoria Street #B1-01/02 Bugis Junction Singapore 188021,"['Desserts', 'Cakes']",https://www.burpple.com/chocolate-origin-bugis-junction
Swensen's (Bugis Junction),200 Victoria Street #01-68 Bugis Junction Singapore 188021,"['Ice Cream & Yoghurt', 'Desserts', 'Good For Groups', 'Western', 'Halal']",https://www.burpple.com/swensens-26
Starbucks (Bugis Junction),200 Victoria Street #01-15 Bugis Junction Singapore 188021,['Cafes & Coffee'],https://www.burpple.com/starbucks-bugis-junction
Platypus Kitchen (Bugis Junction),200 Victoria Street #01-90/91 Bugis Junction Singapore 188021,"['Pasta', 'Italian', 'Good For Groups', 'Western']",https://www.burpple.com/platypus-kitchen-bugis-junction-sungapore
Qiji (Bugis Village),160 Rochor Road Bugis Village Singapore 188435,"['Local Delights', 'Halal', 'Healthier Choice']",https://www.burpple.com/qi-ji
BreadTalk (Bugis Junction),200 Victoria Street #B1-23 Bugis Junction Singapore 188021,"['Bread', 'Cakes']",https://www.burpple.com/breadtalk-40
Toast Box (Bugis Junction),200 Victoria Street #01-67 Bugis Junction Singapore 188021,"['Local Delights', 'Bread', 'Cafes & Coffee', 'Breakfast & Brunch']",https://www.burpple.com/toast-box-bugis-junction
Kotsujiru Nabe (Bugis Junction),200 Victoria Street #B1-K2 Bugis Junction Singapore 188021,"['Ramen', 'Japanese']",https://www.burpple.com/osaka-handmade-gyoza
llaollao (Bugis Junction),200 Victoria Street #01-14 Bugis Junction Singapore 188021,"['Ice Cream & Yoghurt', 'Desserts']",https://www.burpple.com/llaollao-bugisjunction
Stuff'd (Bugis Junction),200 Victoria Street #B1-K07 Bugis Junction Singapore 188021,"['Mexican', 'Turkish', 'Healthy', 'Salads', 'Halal']",https://www.burpple.com/stuffd-bugis
Godiva Chocolatier (Bugis Junction),200 Victoria Street #01-60/60A Bugis Junction Singapore 188021,"['Ice Cream & Yoghurt', 'Desserts']",https://www.burpple.com/godiva-bugis-shopping-mall-singapore
Neds Crepe (Bugis Village),3 New Bugis Sreet #02-07 Bugis Village Singapore 188867,['Desserts'],https://www.burpple.com/neds-crepe
Bugis BBQ & Hotpot,470 North Bridge Road #01-01 Bugis Cube Singapore 188735,"['Buffets', 'Supper', 'Good For Groups', 'BBQ', 'Steamboat']",https://www.burpple.com/bugis-bbq-hotpot-buffet
Greendot (Bugis Junction),200 Victoria Street #01-71/72 Bugis Junction Singapore 188021,"['Local Delights', 'Vegetarian', 'Healthy', 'Healthier Choice']",https://www.burpple.com/greendot-bugis-junction
Paris Baguette (Bugis Junction),200 Victoria Street #B1-24/25 Bugis Junction Singapore 188021,"['Bread', 'Cafes & Coffee', 'Desserts', 'Korean Desserts', 'Cakes', 'Breakfast & Brunch']",https://www.burpple.com/paris-baguette-cafe-4
KFC (Bugis Junction),200 Victoria Street #B1-09 Bugis Junction Singapore 188021,"['Fast Food', 'Halal']",https://www.burpple.com/kfc-bugis-junction
Yoshinoya (Bugis Junction),200 Victoria Street #B1-10 Bugis Junction Singapore 188021,"['Fast Food', 'Japanese']",https://www.burpple.com/yoshinoya-29
Kazokutei (Bugis Junction),200 Victoria Street #02-49 Bugis Junction Singapore 188021,['Japanese'],https://www.burpple.com/kazokutei-3
Yoshinoya (Bugis Junction),200 Victoria Street #B1-10 Bugis Junction Singapore 188021,"['Fast Food', 'Japanese']",https://www.burpple.com/yoshinoya-29
Suki-Ya (Bugis+),201 Victoria Street #04-14/15 Bugis+ Singapore 188067,"['Buffets', 'Japanese', 'Good For Groups', 'Steamboat']",https://www.burpple.com/sukiya-iluma
McDonald's (Bugis Village),151/152 Rochor Road Singapore 188426,"['Fast Food', 'Supper']",https://www.burpple.com/mcdonald-bugis-village
Ice Lab Cafe (Bugis),164 Rochor Road Singapore 188439,"['Cafes & Coffee', 'Desserts', 'Korean', 'Korean Desserts']",https://www.burpple.com/ice-lab-cafe-bugis
Wah! Kung Fu (Bugis),470 North Bridge Road #01-04 Bugis Cube Singapore 188735,"['Seafood', 'Chinese']",https://www.burpple.com/wah-kungu-bugis
Washoku Goen (Bugis Junction),200 Victoria Street #03-30 Stall 11 Bugis Junction Food Junction Singapore 188021,"['Japanese', 'Cheap & Good']",https://www.burpple.com/washoku-goen-at-bugis-junction
WOK HEY (Bugis Junction),200 Victoria Street #B1-K3 Bugis Junction Singapore 188021,"['Local Delights', 'Halal']",https://www.burpple.com/wok-hey
Wow Tako (Bugis Junction),200 Victoria Street #B1-K17 Bugis Junction Singapore 188021,['Japanese'],https://www.burpple.com/wow-tako
Jinjja Chicken (Bugis Village),249 Victoria Street Singapore 188034,"['Fast Food', 'Cheap & Good', 'Korean', 'Korean Desserts', 'Korean Fried Chicken', 'Halal']",https://www.burpple.com/jinjja-chicken
Royale (Mercure Singapore Bugis),122 Middle Road Level 3 Mercure Singapore Bugis Singapore 188973,"['Buffets', 'Good For Groups']",https://www.burpple.com/royale-restaurant
